00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
001005c9 string-utf8 __gmon_start__
001005d8 string-utf8 _ITM_deregisterTMCloneTable
001005f4 string-utf8 _ITM_registerTMCloneTable
0010060e string-utf8 pm_optParseOptions4
00100622 string-utf8 pnm_nextimage
00100630 string-utf8 pm_openr
00100639 string-utf8 pnm_writepamrow
00100649 string-utf8 pnm_writepaminit
0010065a string-utf8 pm_error
00100663 string-utf8 pnm_readpaminit
00100673 string-utf8 pm_freerow
0010067e string-utf8 pm_proginit
0010068a string-utf8 pnm_readpamrow
00100699 string-utf8 pnm_allocpamrow
001006a9 string-utf8 __stack_chk_fail
001006ba string-utf8 free
001006bf string-utf8 stdout
001006c6 string-utf8 malloc
001006cd string-utf8 __libc_start_main
001006df string-utf8 __cxa_finalize
001006ee string-utf8 abort
001006f4 string-utf8 libnetpbm.so.11
00100704 string-utf8 libc.so.6
0010070e string-utf8 GLIBC_2.34
00100719 string-utf8 GLIBC_2.4
00100723 string-utf8 GLIBC_2.2.5
00102004 string assume
0010200d string BLACKANDWHITE
0010201b string GRAYSCALE
00102030 string Program takes zero or one argument (filename).  You specified %d
00102078 string PAM image does not have a depth and tuple_type consistent with a PNM image.  According to its header, depth is %d and tuple_type is '%s'.  Use the -assume option to convert anyway.
00102171 string zR
001021a1 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/netpbm.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
