00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100739 string-utf8 __gnu_objc_personality_v0
00100753 string-utf8 objc_get_class
00100762 string-utf8 objc_msg_lookup
00100772 string-utf8 __objc_exec_class
00100784 string-utf8 _ITM_deregisterTMCloneTable
001007a0 string-utf8 __gmon_start__
001007af string-utf8 _ITM_registerTMCloneTable
001007c9 string-utf8 __objc_class_name_NSProcessInfo
001007e9 string-utf8 NSLog
001007ef string-utf8 __objc_class_name_NSString
0010080a string-utf8 __objc_class_name_NSConstantString
0010082d string-utf8 __objc_class_name_NSFileHandle
0010084c string-utf8 __objc_class_name_NSData
00100865 string-utf8 __objc_class_name_NSFileManager
00100885 string-utf8 __objc_class_name_NSAutoreleasePool
001008a9 string-utf8 __objc_class_name_NSDeserializer
001008ca string-utf8 __objc_class_name_NSSerializer
001008e9 string-utf8 _Unwind_Resume
001008f8 string-utf8 puts
001008fd string-utf8 exit
00100902 string-utf8 strlen
00100909 string-utf8 __libc_start_main
0010091b string-utf8 __cxa_finalize
0010092a string-utf8 libgnustep-base.so.1.31
00100942 string-utf8 libobjc.so.4
0010094f string-utf8 libgcc_s.so.1
0010095d string-utf8 libc.so.6
00100967 string-utf8 __data_start
00100974 string-utf8 __bss_start
00100980 string-utf8 _end
00100985 string-utf8 create_output
00100993 string-utf8 read_input
0010099e string-utf8 _edata
001009a5 string-utf8 process_plist
001009b3 string-utf8 _IO_stdin_used
001009c2 string-utf8 GCC_3.0
001009ca string-utf8 GLIBC_2.34
001009d5 string-utf8 GLIBC_2.2.5
00103004 string NSProcessInfo
00103012 string NSData
00103019 string NSFileHandle
00103028 string NSFileManager
00103036 string NSSerializer
00103043 string NSString
0010304c string NSDeserializer
0010305b string NSAutoreleasePool
0010306d string      if -input is specified.
0010308a string      if -output is specified.
001030a8 string -input
001030b2 string -output
001030c0 string pl {-input <serialized_file>} {-output <serialized_file>}
00103100 string    - Reads an ASCII property list from standard in, or a serialized one
00103148 string    - Writes an ASCII propert list to standard out, or a serialized one
00103190 string %@ is not a serialized property list.
00103219 string zR
00103249 string zR
001032f9 string zPLR
00105010 string NSException
0010501c string @28@0:8@16C24
0010502a string v16@0:8
00105032 string @24@0:8r*16
0010503e string ^rv16@0:8
00105048 string C40@0:8@16@24@32
00105059 string @24@0:8Q16
00105064 string @24@0:8@16
0010506f string v24@0:8@16
0010507a string @32@0:8^rv16Q24
0010508a string r*16@0:8
00105093 string Q24@0:8@16
0010509e string @16@0:8
001050a6 string drain
001050b1 string alloc
001050b7 string deserializePropertyListFromData:mutableContainers:
001050ea string closeFile
001050f4 string fileHandleForReadingAtPath:
00105110 string readDataToEndOfFile
00105124 string fileHandleWithStandardInput
00105140 string propertyList
0010514d string stringWithUTF8String:
00105163 string bytes
00105169 string createFileAtPath:contents:attributes:
0010518f string objectAtIndex:
0010519e string serializePropertyList:
001051b5 string defaultManager
001051c4 string writeData:
001051cf string fileHandleWithStandardOutput
001051ec string dataWithBytes:length:
00105202 string cString
0010520a string description
00105216 string indexOfObject:
00105225 string arguments
0010522f string processInfo
0010523b string NSConstantString
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/gnustep-base-runtime.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .gcc_except_table
.shstrtab::000000bd string-utf8 .note.gnu.property
.shstrtab::000000d0 string-utf8 .note.ABI-tag
.shstrtab::000000de string-utf8 .init_array
.shstrtab::000000ea string-utf8 .fini_array
.shstrtab::000000f6 string-utf8 .dynamic
.shstrtab::000000ff string-utf8 .data
.shstrtab::00000105 string-utf8 .bss
.shstrtab::0000010a string-utf8 .gnu_debugaltlink
.shstrtab::0000011c string-utf8 .gnu_debuglink
