00100374 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100591 string-utf8 __libc_start_main
001005a3 string-utf8 __cxa_finalize
001005b2 string-utf8 stderr
001005b9 string-utf8 __fprintf_chk
001005c7 string-utf8 exit
001005cc string-utf8 getopt
001005d3 string-utf8 optarg
001005da string-utf8 optind
001005e1 string-utf8 __printf_chk
001005ee string-utf8 __errno_location
001005ff string-utf8 strerror
00100608 string-utf8 __stack_chk_fail
00100619 string-utf8 _ITM_deregisterTMCloneTable
00100635 string-utf8 __gmon_start__
00100644 string-utf8 _ITM_registerTMCloneTable
0010065e string-utf8 selabel_close
0010066c string-utf8 selabel_open
00100679 string-utf8 selabel_partial_match
0010068f string-utf8 libselinux.so.1
0010069f string-utf8 libc.so.6
001006a9 string-utf8 GLIBC_2.3.4
001006b5 string-utf8 GLIBC_2.4
001006bf string-utf8 GLIBC_2.2.5
001006cb string-utf8 GLIBC_2.34
001006d6 string-utf8 LIBSELINUX_1.0
00102008 string usage:  %s [-v] -p <path> [-f file]  Where: 	-v  Validate file_contxts entries against loaded policy. 	-p  Path to check if a match or partial match is possible 	    against a regex entry in the file_contexts file. 	-f  Optional file_contexts file (defaults to current policy).  Example: 	%s -p /sys/devices/system/cpu/online 	   Check if a match or partial match is possible against 	   the path "/sys/devices/system/cpu/online", returning 	   TRUE or FALSE.  
001021d8 string ERROR: selabel_open - Could not obtain handle:  %s 
00102211 string FALSE
00102217 string f:vp:
0010221d string Match or Partial match: %s 
00102279 string zR
001022a9 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/selinux-utils.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.build-id
.shstrtab::0000001e string-utf8 .interp
.shstrtab::00000026 string-utf8 .gnu.hash
.shstrtab::00000030 string-utf8 .dynsym
.shstrtab::00000038 string-utf8 .dynstr
.shstrtab::00000040 string-utf8 .gnu.version
.shstrtab::0000004d string-utf8 .gnu.version_r
.shstrtab::0000005c string-utf8 .rela.dyn
.shstrtab::00000066 string-utf8 .rela.plt
.shstrtab::00000070 string-utf8 .init
.shstrtab::00000076 string-utf8 .plt.got
.shstrtab::0000007f string-utf8 .text
.shstrtab::00000085 string-utf8 .fini
.shstrtab::0000008b string-utf8 .rodata
.shstrtab::00000093 string-utf8 .eh_frame_hdr
.shstrtab::000000a1 string-utf8 .eh_frame
.shstrtab::000000ab string-utf8 .note.gnu.property
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
