001003ac TerminatedCString /lib64/ld-linux-x86-64.so.2
00101049 string-utf8 _ITM_deregisterTMCloneTable
00101065 string-utf8 __gmon_start__
00101074 string-utf8 _ITM_registerTMCloneTable
0010108e string-utf8 compressBound
0010109c string-utf8 uncompress2
001010a8 string-utf8 ZSTD_compress
001010b6 string-utf8 ZSTD_decompress
001010c6 string-utf8 ZSTD_isError
001010d3 string-utf8 fgetc
001010d9 string-utf8 optind
001010e0 string-utf8 fgets
001010e6 string-utf8 strcpy
001010ed string-utf8 rewind
001010f4 string-utf8 getpagesize
00101100 string-utf8 lstat
00101106 string-utf8 stdin
0010110c string-utf8 chmod
00101112 string-utf8 __isoc23_strtoull
00101124 string-utf8 fopen64
0010112c string-utf8 ctime
00101132 string-utf8 perror
00101139 string-utf8 strncpy
00101141 string-utf8 sysconf
00101149 string-utf8 __realpath_chk
00101158 string-utf8 __strcpy_chk
00101165 string-utf8 __stack_chk_fail
00101176 string-utf8 __printf_chk
00101183 string-utf8 free
00101188 string-utf8 fread
0010118e string-utf8 getrlimit
00101198 string-utf8 setrlimit
001011a2 string-utf8 __assert_fail
001011b0 string-utf8 __isoc23_fscanf
001011c0 string-utf8 dlclose
001011c8 string-utf8 strdup
001011cf string-utf8 fcntl
001011d5 string-utf8 fnmatch
001011dd string-utf8 closedir
001011e6 string-utf8 strrchr
001011ee string-utf8 putchar
001011f6 string-utf8 unlink
001011fd string-utf8 munmap
00101204 string-utf8 ferror
0010120b string-utf8 fflush
00101212 string-utf8 memmove
0010121a string-utf8 fopen
00101220 string-utf8 __isoc23_sscanf
00101230 string-utf8 sbrk
00101235 string-utf8 ftello64
0010123e string-utf8 strlen
00101245 string-utf8 __vasprintf_chk
00101255 string-utf8 __memcpy_chk
00101262 string-utf8 strstr
00101269 string-utf8 __vsprintf_chk
00101278 string-utf8 strnlen
00101280 string-utf8 __strncpy_chk
0010128e string-utf8 __vfprintf_chk
0010129d string-utf8 feof
001012a2 string-utf8 __isoc23_strtol
001012b2 string-utf8 __vsnprintf_chk
001012c2 string-utf8 stdout
001012c9 string-utf8 umask
001012cf string-utf8 optarg
001012d6 string-utf8 realloc
001012de string-utf8 __sprintf_chk
001012ec string-utf8 strcat
001012f3 string-utf8 _exit
001012f9 string-utf8 strcasecmp
00101304 string-utf8 __fprintf_chk
00101312 string-utf8 malloc
00101319 string-utf8 __libc_start_main
0010132b string-utf8 stderr
00101332 string-utf8 fdopen
00101339 string-utf8 fprintf
00101341 string-utf8 memchr
00101348 string-utf8 strncasecmp
00101354 string-utf8 __strcat_chk
00101361 string-utf8 towlower
0010136a string-utf8 dlsym
00101370 string-utf8 dlopen
00101377 string-utf8 __cxa_finalize
00101386 string-utf8 mkstemps
0010138f string-utf8 dlerror
00101397 string-utf8 setlocale
001013a1 string-utf8 strchr
001013a8 string-utf8 ftell
001013ae string-utf8 getgid
001013b5 string-utf8 strerror
001013be string-utf8 readdir
001013c6 string-utf8 getenv
001013cd string-utf8 calloc
001013d4 string-utf8 stpcpy
001013db string-utf8 memcmp
001013e2 string-utf8 fclose
001013e9 string-utf8 memset
001013f0 string-utf8 __isoc23_strtoul
00101401 string-utf8 fputc
00101407 string-utf8 fputs
0010140d string-utf8 opendir
00101415 string-utf8 __snprintf_chk
00101424 string-utf8 getuid
0010142b string-utf8 access
00101432 string-utf8 memcpy
00101439 string-utf8 fileno
00101440 string-utf8 getcwd
00101447 string-utf8 fwrite
0010144e string-utf8 fseeko64
00101457 string-utf8 strcmp
0010145e string-utf8 qsort
00101464 string-utf8 fseek
0010146a string-utf8 __errno_location
0010147b string-utf8 setitimer
00101485 string-utf8 abort
0010148b string-utf8 getopt_long
00101497 string-utf8 mmap
0010149c string-utf8 fstat
001014a2 string-utf8 strncmp
001014aa string-utf8 __environ
001014b4 string-utf8 __tls_get_addr
001014c3 string-utf8 libz.so.1
001014cd string-utf8 libzstd.so.1
001014da string-utf8 libc.so.6
001014e4 string-utf8 ld-linux-x86-64.so.2
001014f9 string-utf8 ZLIB_1.2.9
00101504 string-utf8 ZLIB_1.2.0
0010150f string-utf8 GLIBC_2.3
00101519 string-utf8 GLIBC_2.8
00101523 string-utf8 GLIBC_2.14
0010152e string-utf8 GLIBC_2.33
00101539 string-utf8 GLIBC_2.4
00101543 string-utf8 GLIBC_2.34
0010154e string-utf8 GLIBC_2.38
00101559 string-utf8 GLIBC_2.2.5
00101565 string-utf8 GLIBC_2.11
00101570 string-utf8 GLIBC_2.3.4
00212008 string     <unknown>
00212018 string %9d %10lu 
00212023 string  Execution Summary:  
00212039 string %9ld   Lines executed 
