Starting Nmap 7.99 ( https://nmap.org ) at 2026-07-06 11:15 -0400
Nmap scan report for api.openai.com (172.66.0.243)
Host is up (0.011s latency).
Other addresses for api.openai.com (not scanned): 162.159.140.245
Not shown: 996 filtered tcp ports (no-response)
PORT     STATE SERVICE  VERSION
80/tcp   open  http     Cloudflare http proxy
| http-security-headers: 
|   X_Frame_Options: 
|     Header: X-Frame-Options: SAMEORIGIN
|     Description: The browser must not display this content in any frame from a page of different origin than the content itself.
|   X_Content_Type_Options: 
|     Header: X-Content-Type-Options: nosniff
|     Description: Will prevent the browser from MIME-sniffing a response away from the declared content-type. 
|   Cache_Control: 
|     Header: Cache-Control: private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0
|   Expires: 
|_    Header: Expires: Thu, 01 Jan 1970 00:00:01 GMT
|_http-server-header: cloudflare
| http-headers: 
|   Date: Mon, 06 Jul 2026 15:16:12 GMT
|   Content-Type: application/json
|   Content-Length: 228
|   Connection: close
|   Cache-Control: private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0
|   Expires: Thu, 01 Jan 1970 00:00:01 GMT
|   Referrer-Policy: same-origin
|   X-Frame-Options: SAMEORIGIN
|   X-Content-Type-Options: nosniff
|   set-cookie: __cf_bm=axhLgttdf39hRG.6qRjJEXkBA5fE7watDNp8ql65tcE-1783350972.29007-1.0.1.1-koAKxjHKy1n93XaZKgtGGuvT5YJtOHEYyPcMYqjcFSZH7n0HxuHzLw3S.O1tBABhi1LYTwMR3793lT1ll2pzqt2ZdUaM7KVRPnaepPNDLG6feYgAoMHV0MN3ScZg.8ku; HttpOnly; Path=/; Domain=api.openai.com; Expires=Mon, 06 Jul 2026 15:46:12 GMT
|   Access-Control-Expose-Headers: CF-Ray
|   Server: cloudflare
|   CF-RAY: a16f91b8ca904cee-BOS
|   alt-svc: h3=":443"; ma=86400
|   
|_  (Request type: GET)
443/tcp  open  ssl/http Cloudflare http proxy
|_http-server-header: cloudflare
| ssl-enum-ciphers: 
|   TLSv1.2: 
|     ciphers: 
|       TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 (ecdh_x25519) - A
|       TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256 (ecdh_x25519) - A
|       TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 (ecdh_x25519) - A
|       TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256 (ecdh_x25519) - A
|       TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384 (ecdh_x25519) - A
|     compressors: 
|       NULL
|     cipher preference: server
|   TLSv1.3: 
|     ciphers: 
|       TLS_AKE_WITH_AES_128_GCM_SHA256 (X25519MLKEM768) - A
|       TLS_AKE_WITH_AES_256_GCM_SHA384 (X25519MLKEM768) - A
|       TLS_AKE_WITH_CHACHA20_POLY1305_SHA256 (X25519MLKEM768) - A
|     cipher preference: client
|_  least strength: A
| http-security-headers: 
|   Strict_Transport_Security: 
|     Header: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
|   X_Frame_Options: 
